2025-04-30,o3-mini-2025-01-31,PDDL,3,detailed,1,True,1,"[1, 0]","[[[1, 2]], [[1, 0]]]"
2025-04-30,o3-mini-2025-01-31,PDDL,3,detailed,2,True,0,"[1, 0]","[[[1, 0]]]"
2025-04-30,o3-mini-2025-01-31,PDDL,3,detailed,3,True,1,"[1, 1]","[[[1, 0]], [[1, 1]]]"
2025-04-30,o3-mini-2025-01-31,PDDL,3,detailed,4,True,1,"[1, 0]","[[[1, 0]], [[1, 0]]]"
2025-04-30,o3-mini-2025-01-31,PDDL,3,detailed,5,True,1,"[1, 0]","[[[1, 0]], [[1, 0]]]"
2025-04-30,o3-mini-2025-01-31,PDDL,3,detailed,6,True,1,"[1, 0]","[[[1, 0]], [[1, 0]]]"
2025-04-30,o3-mini-2025-01-31,PDDL,3,detailed,7,True,1,"[1, 0]","[[[1, 0]], [[1, 0]]]"
2025-04-30,o3-mini-2025-01-31,PDDL,3,detailed,8,True,1,"[1, 0]","[[[1, 0]], [[1, 0]]]"
2025-04-30,o3-mini-2025-01-31,PDDL,3,detailed,9,True,1,"[1, 0]","[[[1, 0]], [[1, 0]]]"
2025-04-30,o3-mini-2025-01-31,PDDL,3,detailed,10,True,1,"[1, 0]","[[[1, 0]], [[1, 0]]]"
2025-04-30,o3-mini-2025-01-31,PDDL,5,detailed,11,True,1,"[1, 0]","[[[1, 0]], [[1, 0]]]"
2025-04-30,o3-mini-2025-01-31,PDDL,5,detailed,12,True,1,"[1, 0]","[[[1, 0]], [[1, 0]]]"
2025-04-30,o3-mini-2025-01-31,PDDL,5,detailed,13,True,1,"[1, 0]","[[[1, 0]], [[1, 0]]]"
2025-04-30,o3-mini-2025-01-31,PDDL,5,detailed,14,True,2,"[1, 0]","[[[1, 0]], [[1, 0]], [[1, 0]]]"
2025-04-30,o3-mini-2025-01-31,PDDL,5,detailed,15,True,2,"[1, 0]","[[[1, 0]], [[1, 0]], [[1, 0]]]"
2025-04-30,o3-mini-2025-01-31,PDDL,5,detailed,16,True,2,"[1, 0]","[[[1, 0]], [[1, 0]], [[1, 0]]]"
