2025-08-16,gpt-5-nano-2025-08-07,baseline,detailed,0,False,3,5,"[[1], [1], [1], [1, 2, 3, 4, 5]]"
2025-08-16,gpt-5-nano-2025-08-07,baseline,detailed,1,False,3,5,"[[1], [1], [1], [1, 2, 3, 4, 5]]"
2025-08-16,gpt-5-nano-2025-08-07,baseline,detailed,2,False,4,5,"[[1], [1], [1], [1], [1, 2, 3, 4, 5]]"
2025-08-16,gpt-5-nano-2025-08-07,baseline,detailed,3,False,3,5,"[[1], [1], [1], [1, 2, 3, 4, 5]]"
2025-08-16,gpt-5-nano-2025-08-07,baseline,detailed,4,False,3,5,"[[1], [1], [1], [1, 2, 3, 4, 5]]"
2025-08-16,gpt-5-nano-2025-08-07,PDDL,detailed,0,False,3,"[5, 0]","[[[1, 0]], [[1, 1]], [[1, 0]], [[1, 2], [2, 1], [3, 0], [4, 0], [5, 0]]]"
2025-08-16,gpt-5-nano-2025-08-07,PDDL,detailed,1,False,1,"[5, 0]","[[[1, 1]], [[1, 0], [2, 0], [3, 0], [4, 0], [5, 0]]]"
2025-08-16,gpt-5-nano-2025-08-07,PDDL,detailed,2,False,2,"[5, 0]","[[[1, 0]], [[1, 1]], [[1, 0], [2, 0], [3, 1], [4, 1], [5, 0]]]"
2025-08-16,gpt-5-nano-2025-08-07,PDDL,detailed,3,False,1,"[2, 5]","[[[1, 0]], [[1, 0], [2, 5]]]"
2025-08-16,gpt-5-nano-2025-08-07,PDDL,detailed,4,False,0,"[1, 5]","[[[1, 5]]]"
2025-08-16,gpt-5-nano-2025-08-07,PDDL,subgoal,0,False,1,"[5, 0]","[[[1, 0]], [[1, 0], [2, 1], [3, 0], [4, 0], [5, 0]]]"
2025-08-16,gpt-5-nano-2025-08-07,PDDL,subgoal,1,False,11,"[5, 0]","[[[1, 1]], [[1, 0]], [[1, 1]], [[1, 0]], [[1, 0]], [[1, 0], [2, 0]], [[1, 1]], [[1, 0]], [[1, 1]], [[1, 3], [2, 0], [3, 0], [4, 0]], [[1, 0]], [[1, 0], [2, 0], [3, 0], [4, 0], [5, 0]]]"
2025-08-16,gpt-5-nano-2025-08-07,PDDL,subgoal,2,False,6,"[1, 5]","[[[1, 0]], [[1, 0]], [[1, 1]], [[1, 0]], [[1, 0], [2, 0]], [[1, 2]], [[1, 5]]]"
2025-08-16,gpt-5-nano-2025-08-07,PDDL,subgoal,3,False,1,"[2, 5]","[[[1, 0]], [[1, 0], [2, 5]]]"
2025-08-16,gpt-5-nano-2025-08-07,PDDL,subgoal,4,True,3,"[3, 0]","[[[1, 0]], [[1, 0]], [[1, 0]], [[1, 0], [2, 0], [3, 0]]]"
